Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Uncertainty,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
6A.11,2020,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,1031,1769,6438,1664,413,182,79,185,11764
6A.11,2020,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,870,1643,4683,1002,285,148,61,147,8849
6A.11,2020,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,9435,13412,13758,5338,3528,986,1122,513,48095
6A.11,2020,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,15,10,31.7,19.2,6.1,28.3,4.8,38.2,17.9
6A.11,2020,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,76.8,96,66.1,67.6,64.4,89.3,37.4,19,71.8
6A.11,2020,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,14926,11312,33915,11361,2410,1718,334,2023,77996
6A.11,2020,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,11469,10856,22411,7675,1551,1534,125,385,56018
6A.11,2020,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,99245,113436,107134,59258,39201,6067,6992,5289,436627
6A.11,2019,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,9.5,8.8,20.9,15.7,5.5,15.4,3.7,28.5,13.4
6A.11,2019,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,87.5,97.2,92.8,68.7,78.3,92.3,66,64.1,85.3
6A.11,2019,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,3267,3503,8740,5006,802,519,97,1327,23255
6A.11,2019,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,2857,3406,8110,3439,628,479,64,851,19835
6A.11,2019,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,34564,39760,41912,31854,14619,3372,2616,4652,173347
6A.11,2019,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,10.2,13.8,40.6,29.2,9.3,21.4,5.7,35.6,21.7
6A.11,2019,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,84.8,94.7,74.1,65.1,76.5,87,73.8,78.3,77.7
6A.11,2019,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,1292,2188,5876,2241,387,276,65,249,12561
6A.11,2019,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,1096,2071,4356,1459,296,240,48,195,9761
6A.11,2019,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,12642,15899,14466,7664,4175,1287,1145,700,57987
6A.11,2019,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,14,11.7,28.4,17,6.1,28,4.9,37.3,17
6A.11,2019,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,78.9,96.6,72.1,69.8,71.8,90.9,44.8,20.5,76.2
6A.11,2019,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,18719,16014,38810,15150,3018,2245,426,2346,96724
6A.11,2019,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,14775,15476,27964,10580,2166,2041,191,481,73673
6A.11,2019,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,133666,136727,136877,89353,49596,8029,8707,6285,569243
6A.11,2018,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,8.7,9.2,20.1,15.2,11.2,17.1,3.4,30.7,13.6
6A.11,2018,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,86.8,97.2,92.1,71.7,89.6,92,80.3,64.8,85.8
6A.11,2018,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,3182,3538,7810,4832,1447,512,76,1530,22929
6A.11,2018,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,2762,3439,7196,3463,1296,471,61,991,19677
6A.11,2018,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,36684,38587,38833,31738,12960,2994,2205,4981,168983
6A.11,2018,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,9.4,13.8,40,27.5,16.4,23.7,7.1,38.2,21.4
6A.11,2018,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,85.9,93.7,72.5,67,84.2,79.8,66.3,78.2,77.6
6A.11,2018,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,1151,2042,5066,2014,557,238,80,294,11436
6A.11,2018,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,989,1914,3673,1349,469,190,53,230,8875
6A.11,2018,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Motor vehicle theft,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,12290,14782,12678,7330,3397,1004,1128,769,53384
6A.11,2018,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,14.2,12.8,29.9,16.9,13.6,29.2,6.3,37.3,18.3
6A.11,2018,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,78.6,97.4,71.9,75.3,71.4,92.2,35.7,24.2,76.9
6A.11,2018,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,18882,16046,38051,14743,5826,2115,546,2394,98605
6A.11,2018,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,14843,15632,27359,11101,4159,1950,195,579,75816
6A.11,2018,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Other theft,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,132909,125334,127179,87035,42812,7244,8625,6426,537558
6A.11,2017,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Proportion of,finalised investigations,,,Derived from ABS Recorded Crime - Victims,%,8.5,9.2,19.5,14.7,11.8,19.5,2.9,29.3,13.1
6A.11,2017,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Proportion of,finalised investigations,finalised investigations where an offender was proceeded against,,Derived from ABS Recorded Crime - Victims,%,86.4,97.5,91.7,70.5,91.9,93.7,66.7,69.7,86.2
6A.11,2017,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,finalised investigations,,,ABS Recorded Crime - Victims,no.,3244,4067,7279,4997,1451,646,75,1252,23009
6A.11,2017,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,finalised investigations,finalised investigations where an offender was proceeded against,,ABS Recorded Crime - Victims,no.,2802,3965,6677,3524,1333,605,50,873,19836
6A.11,2017,Outcome of investigation,All ages,All people,All people,,Outcome of investigation at 30 days,Selected property offences,,Unlawful entry with intent,Number of,all investigations,,,ABS Recorded Crime - Victims,no.,38223,44413,37258,33902,12299,3314,2598,4277,176286
